PROGRAM,DATASET,N,CPU_CLOCK,TASK_CLOCK,CONTEXT_SWITCHES,CPU_MIGRATIONS,PAGE_FAULTS,BRANCHES,BRANCH_MISSES,CACHE_REFERENCES,CACHE_MISSES,CYCLES,INSTRUCTIONS
serial,SMALL,1,751,04,751,04,1,1,3.979,146.186.241
183.386,183.386,74.536.085,1.753.291,2.944.597.311,10.322.980.819
pthread,SMALL,2,711,63,711,61,157,6,3.988,146.795.917
235.295,235.295,75.039.521,2.123.839,2.735.483.627,10.324.854.587
pthread,SMALL,4,983,14,983,07,373,3,3.991,147.069.709
292.481,292.481,74.027.996,2.652.248,2.954.146.731,10.381.694.036
pthread,SMALL,8,1.434,04,1.433,81,852,12,4.012,148.841.834
411.441,411.441,76.009.433,5.220.596,4.349.322.306,10.340.948.159
pthread,SMALL,16,2.675,30,2.674,16,1.893,58,4.018,152.025.249
708.274,708.274,101.564.647,4.583.112,8.975.691.335,10.359.760.921
