PROGRAM,DATASET,N,AVERAGE_TIME,SPEEDUP
serial,SMALL,1,112.12736511000000000000,1
serial,MEDIUM,1,221.71121216000000000000,1
serial,LARGE,1,442.37033081000000000000,1
pthread,SMALL,2,53.40050888000000000000,2.09974338188366717302
pthread,SMALL,4,33.25837326000000000000,3.37140257081834194316
pthread,SMALL,8,22.49971581000000000000,4.98350139427827733082
pthread,SMALL,16,22.53561974000000000000,4.97556163991254850664
pthread,MEDIUM,2,107.01569366000000000000,2.07176353838717901555
pthread,MEDIUM,4,65.07392883000000000000,3.40706664168381978420
pthread,MEDIUM,8,43.79534531000000000000,5.06243781366819413713
pthread,MEDIUM,16,44.82892609000000000000,4.94571767601314850056
pthread,LARGE,2,212.98168945000000000000,2.07703456551766966932
pthread,LARGE,4,130.64810181000000000000,3.38596829713862951071
pthread,LARGE,8,87.90766907000000000000,5.03221545389566544219
pthread,LARGE,16,88.46781158000000000000,5.00035349478461689331
mpi,SMALL,2,58.54805756000000000000,1.91513381968465769883
mpi,SMALL,4,36.98270035000000000000,3.03188691060521760953
mpi,SMALL,8,26.39882278000000000000,4.24743807875208592918
mpi,SMALL,16,27.79866791000000000000,4.03355173251537289219
mpi,MEDIUM,2,113.91699219000000000000,1.94625233600104237443
mpi,MEDIUM,4,71.15205383000000000000,3.11601985080744646721
mpi,MEDIUM,8,47.23343658000000000000,4.69394624260473405511
mpi,MEDIUM,16,51.00951767000000000000,4.34646752777264596315
mpi,LARGE,2,226.17860413000000000000,1.95584517161375762886
mpi,LARGE,4,139.44586182000000000000,3.17234462920830188032
mpi,LARGE,8,91.23073578000000000000,4.84891771427517472993
mpi,LARGE,16,96.59498596000000000000,4.57964071751286996097
mpi-pthread,SMALL,2,55.86151505000000000000,2.00723816763004174910
mpi-pthread,SMALL,4,24.62001991000000000000,4.55431658950270930142
mpi-pthread,SMALL,8,27.11507034000000000000,4.13524153557478840750
mpi-pthread,SMALL,16,32.84596634000000000000,3.41373317957312380293
mpi-pthread,MEDIUM,2,109.39596558000000000000,2.02668545393353801228
mpi-pthread,MEDIUM,4,46.75954819000000000000,4.74151741712968848085
mpi-pthread,MEDIUM,8,50.73838043000000000000,4.36969430795842215651
mpi-pthread,MEDIUM,16,61.48971176000000000000,3.60566354621012456669
mpi-pthread,LARGE,2,216.36001587000000000000,2.04460296895059568660
mpi-pthread,LARGE,4,90.89148712000000000000,4.86701609608343263731
mpi-pthread,LARGE,8,98.43368530000000000000,4.49409497837830115256
mpi-pthread,LARGE,16,117.49886322000000000000,3.76489030350637634024
